Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,200",
SURVEY,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,200",
SURVEY,2017,YEAR - MAY FORECAST,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,270",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,210",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,210",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,000",
SURVEY,2015,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,010",
SURVEY,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,010",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,280",
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,280",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,310",
SURVEY,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,310",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,540",
SURVEY,2011,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,540",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,220",
SURVEY,2010,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,130",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"1,960",
SURVEY,2009,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"1,880",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,400",
SURVEY,2008,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,300",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,170",
SURVEY,2007,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,ALMONDS,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,170",
