"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,790",""
"SURVEY","2019","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,790",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,680",""
"SURVEY","2018","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,680",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,510",""
"SURVEY","2015","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,510",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,580",""
"SURVEY","2014","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,580",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2013","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","MAINE","23","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (NA)",""
