Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"6,630",
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,790",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"10,100",
SURVEY,2019,YEAR,,STATE,FLORIDA,12,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,740",
SURVEY,2019,YEAR,,STATE,GEORGIA,13,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,420",
SURVEY,2019,YEAR,,STATE,MAINE,23,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,790",
SURVEY,2019,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,120",
SURVEY,2019,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"5,090",
SURVEY,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,160",
SURVEY,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"11,700",
SURVEY,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"9,760",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"6,300",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,680",
SURVEY,2018,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"9,840",
SURVEY,2018,YEAR,,STATE,FLORIDA,12,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,950",
SURVEY,2018,YEAR,,STATE,GEORGIA,13,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,100",
SURVEY,2018,YEAR,,STATE,MAINE,23,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"2,680",
SURVEY,2018,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,560",
SURVEY,2018,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,940",
SURVEY,2018,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,500",
SURVEY,2018,YEAR,,STATE,OREGON,41,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"10,200",
SURVEY,2018,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"9,470",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,510",
