"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,680",""
"SURVEY","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,650",""
"SURVEY","2019","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,700",""
"SURVEY","2019","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","2019","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","10,700",""
"SURVEY","2019","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,700",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,470",""
"SURVEY","2018","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,600",""
"SURVEY","2018","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2018","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","10,100",""
"SURVEY","2018","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","14,500",""
"SURVEY","2018","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2018","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,270",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,350",""
"SURVEY","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,140",""
"SURVEY","2017","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,710",""
"SURVEY","2017","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,880",""
"SURVEY","2017","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","10,000",""
"SURVEY","2017","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,060",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","9,170",""
"SURVEY","2016","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,410",""
"SURVEY","2016","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,940",""
"SURVEY","2016","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2016","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","16,000",""
"SURVEY","2016","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","12,200",""
"SURVEY","2016","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CHERRIES","CHERRIES, TART - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,000",""
