Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.07,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.71,
SURVEY,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.4,
SURVEY,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,5.97,
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.05,
SURVEY,2018,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.4,
SURVEY,2018,YEAR,,STATE,OREGON,41,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.2,
SURVEY,2018,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,6.12,
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.73,
SURVEY,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.96,
SURVEY,2017,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,3.28,
SURVEY,2017,YEAR,,STATE,OREGON,41,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.3,
SURVEY,2017,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,6.56,
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,3.82,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.67,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED, (NA),
SURVEY,2016,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,3.37,
SURVEY,2016,YEAR,,STATE,MONTANA,30,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED, (NA),
SURVEY,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.78,
SURVEY,2016,YEAR,,STATE,UTAH,49,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED, (NA),
SURVEY,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,5.4,
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,3.65,
SURVEY,2015,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.82,
SURVEY,2015,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.78,
SURVEY,2015,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.07,
SURVEY,2015,YEAR,,STATE,MONTANA,30,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.09,
SURVEY,2015,YEAR,,STATE,NEW YORK,36,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.1,
SURVEY,2015,YEAR,,STATE,OREGON,41,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.75,
SURVEY,2015,YEAR,,STATE,UTAH,49,,,,,,,0,,CHERRIES,"CHERRIES, SWEET - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,0.77,
