,year,state,lbs_per_acre,commodity
0,2017,US TOTAL,2200.0,ALMONDS
1,2017,CALIFORNIA,2200.0,ALMONDS
3,2016,US TOTAL,2210.0,ALMONDS
4,2016,CALIFORNIA,2210.0,ALMONDS
5,2015,US TOTAL,2000.0,ALMONDS
6,2015,CALIFORNIA,2000.0,ALMONDS
7,2014,US TOTAL,2010.0,ALMONDS
8,2014,CALIFORNIA,2010.0,ALMONDS
9,2013,US TOTAL,2280.0,ALMONDS
10,2013,CALIFORNIA,2280.0,ALMONDS
11,2012,US TOTAL,2310.0,ALMONDS
12,2012,CALIFORNIA,2310.0,ALMONDS
13,2011,US TOTAL,2540.0,ALMONDS
14,2011,CALIFORNIA,2540.0,ALMONDS
15,2010,US TOTAL,2220.0,ALMONDS
16,2010,CALIFORNIA,2130.0,ALMONDS
17,2009,US TOTAL,1960.0,ALMONDS
18,2009,CALIFORNIA,1880.0,ALMONDS
19,2008,US TOTAL,2400.0,ALMONDS
20,2008,CALIFORNIA,2300.0,ALMONDS
21,2007,US TOTAL,2170.0,ALMONDS
22,2007,CALIFORNIA,2170.0,ALMONDS
0,2019,US TOTAL,8140.000000000001,SWEET CHERRIES
1,2019,CALIFORNIA,3420.0,SWEET CHERRIES
2,2019,OREGON,8800.0,SWEET CHERRIES
3,2019,WASHINGTON,11940.0,SWEET CHERRIES
4,2018,US TOTAL,8100.0,SWEET CHERRIES
5,2018,CALIFORNIA,2800.0,SWEET CHERRIES
6,2018,OREGON,8400.0,SWEET CHERRIES
7,2018,WASHINGTON,12240.0,SWEET CHERRIES
8,2017,US TOTAL,9460.0,SWEET CHERRIES
9,2017,CALIFORNIA,5920.0,SWEET CHERRIES
10,2017,MICHIGAN,6560.0,SWEET CHERRIES
11,2017,OREGON,8600.0,SWEET CHERRIES
12,2017,WASHINGTON,13120.0,SWEET CHERRIES
13,2016,US TOTAL,7640.0,SWEET CHERRIES
14,2016,CALIFORNIA,3340.0,SWEET CHERRIES
16,2016,MICHIGAN,6740.0,SWEET CHERRIES
18,2016,OREGON,9560.0,SWEET CHERRIES
20,2016,WASHINGTON,10800.0,SWEET CHERRIES
21,2015,US TOTAL,7300.0,SWEET CHERRIES
22,2015,CALIFORNIA,3640.0,SWEET CHERRIES
23,2015,IDAHO,5560.0,SWEET CHERRIES
24,2015,MICHIGAN,4140.0,SWEET CHERRIES
25,2015,MONTANA,2180.0,SWEET CHERRIES
26,2015,NEW YORK,2200.0,SWEET CHERRIES
27,2015,OREGON,5500.0,SWEET CHERRIES
28,2015,UTAH,1540.0,SWEET CHERRIES
29,2015,WASHINGTON,12040.0,SWEET CHERRIES
30,2014,US TOTAL,8100.0,SWEET CHERRIES
31,2014,CALIFORNIA,2020.0,SWEET CHERRIES
32,2014,IDAHO,6060.0,SWEET CHERRIES
33,2014,MICHIGAN,8920.0,SWEET CHERRIES
34,2014,MONTANA,5980.0,SWEET CHERRIES
35,2014,NEW YORK,1800.0,SWEET CHERRIES
36,2014,OREGON,9260.0,SWEET CHERRIES
38,2014,UTAH,4200.0,SWEET CHERRIES
39,2014,WASHINGTON,13540.0,SWEET CHERRIES
40,2013,US TOTAL,7380.0,SWEET CHERRIES
41,2013,CALIFORNIA,4960.0,SWEET CHERRIES
42,2013,IDAHO,7660.0,SWEET CHERRIES
43,2013,MICHIGAN,6940.0,SWEET CHERRIES
44,2013,MONTANA,5760.0,SWEET CHERRIES
45,2013,NEW YORK,2980.0,SWEET CHERRIES
46,2013,OREGON,8000.0,SWEET CHERRIES
48,2013,UTAH,3320.0,SWEET CHERRIES
49,2013,WASHINGTON,9660.0,SWEET CHERRIES
50,2012,US TOTAL,9820.0,SWEET CHERRIES
51,2012,CALIFORNIA,5960.0,SWEET CHERRIES
52,2012,IDAHO,12000.0,SWEET CHERRIES
53,2012,MICHIGAN,1300.0,SWEET CHERRIES
54,2012,MONTANA,6520.0,SWEET CHERRIES
55,2012,NEW YORK,1000.0,SWEET CHERRIES
56,2012,OREGON,8960.0,SWEET CHERRIES
58,2012,UTAH,5200.0,SWEET CHERRIES
59,2012,WASHINGTON,15520.0,SWEET CHERRIES
60,2011,US TOTAL,7800.0,SWEET CHERRIES
61,2011,CALIFORNIA,4540.0,SWEET CHERRIES
62,2011,IDAHO,7460.0,SWEET CHERRIES
63,2011,MICHIGAN,5720.0,SWEET CHERRIES
64,2011,MONTANA,5600.0,SWEET CHERRIES
65,2011,NEW YORK,2000.0,SWEET CHERRIES
66,2011,OREGON,7280.0,SWEET CHERRIES
68,2011,UTAH,3200.0,SWEET CHERRIES
69,2011,WASHINGTON,11520.0,SWEET CHERRIES
70,2010,US TOTAL,7360.0,SWEET CHERRIES
71,2010,CALIFORNIA,6680.0,SWEET CHERRIES
72,2010,IDAHO,4220.0,SWEET CHERRIES
73,2010,MICHIGAN,4500.0,SWEET CHERRIES
74,2010,MONTANA,6760.0,SWEET CHERRIES
75,2010,NEW YORK,2860.0,SWEET CHERRIES
76,2010,OREGON,6180.0,SWEET CHERRIES
78,2010,UTAH,4400.0,SWEET CHERRIES
79,2010,WASHINGTON,9180.0,SWEET CHERRIES
80,2009,US TOTAL,10380.0,SWEET CHERRIES
81,2009,CALIFORNIA,6580.0,SWEET CHERRIES
