,year,state,lbs_of_honey
0,2019,US TOTAL,41022000
1,2019,ALABAMA,44000
2,2019,ARIZONA,201000
3,2019,ARKANSAS,176000
4,2019,CALIFORNIA,3216000
5,2019,COLORADO,500000
6,2019,FLORIDA,830000
7,2019,GEORGIA,370000
8,2019,HAWAII,51000
9,2019,IDAHO,677000
10,2019,ILLINOIS,116000
11,2019,INDIANA,198000
12,2019,IOWA,1170000
13,2019,KANSAS,171000
14,2019,KENTUCKY,44000
15,2019,LOUISIANA,428000
16,2019,MAINE,110000
17,2019,MICHIGAN,1363000
18,2019,MINNESOTA,3063000
19,2019,MISSISSIPPI,141000
20,2019,MISSOURI,73000
21,2019,MONTANA,5802000
22,2019,NEBRASKA,223000
23,2019,NEW JERSEY,155000
24,2019,NEW YORK,1027000
25,2019,NORTH CAROLINA,118000
26,2019,NORTH DAKOTA,6422000
27,2019,OHIO,442000
28,2019,OREGON,1141000
29,2019,OTHER STATES,351000
30,2019,PENNSYLVANIA,409000
31,2019,SOUTH CAROLINA,45000
32,2019,SOUTH DAKOTA,7582000
33,2019,TENNESSEE,91000
34,2019,TEXAS,1814000
35,2019,UTAH,89000
36,2019,VERMONT,84000
37,2019,VIRGINIA,49000
38,2019,WASHINGTON,1191000
39,2019,WEST VIRGINIA,47000
40,2019,WISCONSIN,692000
41,2019,WYOMING,306000
42,2018,US TOTAL,29303000
43,2018,ALABAMA,14000
44,2018,ARIZONA,109000
45,2018,ARKANSAS,84000
46,2018,CALIFORNIA,3022000
47,2018,COLORADO,283000
48,2018,FLORIDA,737000
49,2018,GEORGIA,200000
50,2018,HAWAII,18000
51,2018,IDAHO,655000
52,2018,ILLINOIS,108000
53,2018,INDIANA,106000
54,2018,IOWA,1005000
55,2018,KANSAS,95000
56,2018,KENTUCKY,34000
57,2018,LOUISIANA,261000
58,2018,MAINE,92000
59,2018,MICHIGAN,768000
60,2018,MINNESOTA,1161000
61,2018,MISSISSIPPI,70000
62,2018,MISSOURI,36000
63,2018,MONTANA,3680000
64,2018,NEBRASKA,850000
65,2018,NEW JERSEY,165000
66,2018,NEW YORK,833000
67,2018,NORTH CAROLINA,63000
68,2018,NORTH DAKOTA,4752000
69,2018,OHIO,491000
70,2018,OREGON,1009000
71,2018,OTHER STATES,314000
72,2018,PENNSYLVANIA,309000
73,2018,SOUTH CAROLINA,15000
74,2018,SOUTH DAKOTA,5154000
75,2018,TENNESSEE,84000
76,2018,TEXAS,1035000
77,2018,UTAH,75000
78,2018,VERMONT,94000
79,2018,VIRGINIA,35000
80,2018,WASHINGTON,563000
81,2018,WEST VIRGINIA,38000
82,2018,WISCONSIN,711000
83,2018,WYOMING,175000
84,2017,US TOTAL,30671000
85,2017,ALABAMA,22000
86,2017,ARIZONA,97000
87,2017,ARKANSAS,197000
88,2017,CALIFORNIA,2198000
89,2017,COLORADO,284000
90,2017,FLORIDA,529000
91,2017,GEORGIA,190000
92,2017,HAWAII,25000
93,2017,IDAHO,1045000
94,2017,ILLINOIS,167000
95,2017,INDIANA,158000
96,2017,IOWA,1035000
97,2017,KANSAS,260000
98,2017,KENTUCKY,42000
99,2017,LOUISIANA,279000
100,2017,MAINE,51000
101,2017,MICHIGAN,822000
102,2017,MINNESOTA,1016000
103,2017,MISSISSIPPI,124000
104,2017,MISSOURI,57000
105,2017,MONTANA,2506000
106,2017,NEBRASKA,423000
107,2017,NEW JERSEY,167000
108,2017,NEW YORK,766000
109,2017,NORTH CAROLINA,99000
110,2017,NORTH DAKOTA,4377000
111,2017,OHIO,657000
112,2017,OREGON,998000
113,2017,OTHER STATES,193000
114,2017,PENNSYLVANIA,177000
115,2017,SOUTH CAROLINA,27000
116,2017,SOUTH DAKOTA,6541000
117,2017,TENNESSEE,75000
118,2017,TEXAS,2297000
119,2017,UTAH,67000
120,2017,VERMONT,144000
121,2017,VIRGINIA,46000
122,2017,WASHINGTON,1594000
123,2017,WEST VIRGINIA,50000
124,2017,WISCONSIN,683000
125,2017,WYOMING,186000
126,2016,US TOTAL,41314000
127,2016,ALABAMA,33000
128,2016,ARIZONA,261000
129,2016,ARKANSAS,99000
130,2016,CALIFORNIA,2009000
131,2016,COLORADO,282000
132,2016,FLORIDA,538000
133,2016,GEORGIA,899000
134,2016,HAWAII,142000
135,2016,IDAHO,1253000
136,2016,ILLINOIS,77000
137,2016,INDIANA,238000
138,2016,IOWA,746000
139,2016,KANSAS,54000
140,2016,KENTUCKY,48000
141,2016,LOUISIANA,301000
142,2016,MAINE,65000
143,2016,MICHIGAN,1709000
144,2016,MINNESOTA,1390000
145,2016,MISSISSIPPI,113000
146,2016,MISSOURI,30000
147,2016,MONTANA,3183000
148,2016,NEBRASKA,640000
149,2016,NEW JERSEY,198000
150,2016,NEW YORK,1167000
151,2016,NORTH CAROLINA,89000
152,2016,NORTH DAKOTA,6809000
153,2016,OHIO,664000
154,2016,OREGON,622000
155,2016,OTHER STATES,432000
156,2016,PENNSYLVANIA,266000
157,2016,SOUTH CAROLINA,36000
158,2016,SOUTH DAKOTA,12127000
159,2016,TENNESSEE,69000
160,2016,TEXAS,2607000
161,2016,UTAH,169000
162,2016,VERMONT,69000
163,2016,VIRGINIA,30000
164,2016,WASHINGTON,412000
165,2016,WEST VIRGINIA,43000
166,2016,WISCONSIN,1205000
167,2016,WYOMING,190000
168,2015,US TOTAL,42205000
169,2015,ALABAMA,13000
170,2015,ARIZONA,306000
171,2015,ARKANSAS,121000
172,2015,CALIFORNIA,1485000
173,2015,COLORADO,399000
174,2015,FLORIDA,832000
175,2015,GEORGIA,221000
176,2015,HAWAII,82000
177,2015,IDAHO,1082000
178,2015,ILLINOIS,155000
179,2015,INDIANA,165000
180,2015,IOWA,990000
181,2015,KANSAS,107000
182,2015,KENTUCKY,55000
183,2015,LOUISIANA,348000
184,2015,MAINE,47000
185,2015,MICHIGAN,1984000
186,2015,MINNESOTA,2157000
187,2015,MISSISSIPPI,87000
188,2015,MISSOURI,52000
189,2015,MONTANA,3757000
190,2015,NEBRASKA,1450000
191,2015,NEW JERSEY,207000
192,2015,NEW YORK,899000
193,2015,NORTH CAROLINA,103000
194,2015,NORTH DAKOTA,9428000
195,2015,OHIO,357000
196,2015,OREGON,809000
197,2015,OTHER STATES,371000
198,2015,PENNSYLVANIA,225000
199,2015,SOUTH CAROLINA,38000
200,2015,SOUTH DAKOTA,9379000
201,2015,TENNESSEE,78000
202,2015,TEXAS,1164000
203,2015,UTAH,147000
204,2015,VERMONT,62000
205,2015,VIRGINIA,41000
206,2015,WASHINGTON,1221000
207,2015,WEST VIRGINIA,32000
208,2015,WISCONSIN,1603000
209,2015,WYOMING,146000
210,2014,US TOTAL,41207000
211,2014,ALABAMA,26000
212,2014,ARIZONA,193000
213,2014,ARKANSAS,137000
214,2014,CALIFORNIA,2995000
215,2014,COLORADO,200000
216,2014,FLORIDA,1029000
217,2014,GEORGIA,362000
218,2014,HAWAII,140000
219,2014,IDAHO,850000
220,2014,ILLINOIS,94000
221,2014,INDIANA,115000
222,2014,IOWA,933000
223,2014,KANSAS,84000
224,2014,KENTUCKY,56000
225,2014,LOUISIANA,524000
226,2014,MAINE,41000
227,2014,MICHIGAN,1835000
228,2014,MINNESOTA,1426000
229,2014,MISSISSIPPI,45000
230,2014,MISSOURI,96000
231,2014,MONTANA,5132000
232,2014,NEBRASKA,1688000
233,2014,NEW JERSEY,119000
234,2014,NEW YORK,1518000
235,2014,NORTH CAROLINA,88000
236,2014,NORTH DAKOTA,9271000
237,2014,OHIO,256000
238,2014,OREGON,767000
239,2014,OTHER STATES,202000
240,2014,PENNSYLVANIA,203000
241,2014,SOUTH CAROLINA,19000
242,2014,SOUTH DAKOTA,5846000
243,2014,TENNESSEE,88000
244,2014,TEXAS,2081000
245,2014,UTAH,130000
246,2014,VERMONT,81000
247,2014,VIRGINIA,52000
248,2014,WASHINGTON,1167000
